/sentence/@id;/sentence/#id;/sentence/aspectTerms/aspectTerm/@from;polarity;aspect_term;/sentence/aspectTerms/aspectTerm/@to;sentence
1732;769;74;negative;programs;82;The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.
1800;770;;;;;Looking online, many people are having the same problem.
1063;771;0;positive;Wireless;8;Wireless has not been a issue for me, like some others have meantioned.
2615;772;;;;;THIS IS MY SECOND MAC BOOK PRO.
271;773;57;negative;battery life;69;MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.
271;773;102;negative;programs;110;MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.
2478;774;35;positive;trackpad;43;All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.
2478;774;88;positive;programs;96;All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.
2478;774;49;positive;navigating;59;All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.
523;775;60;positive;speakers;68;I guess the only good thing that came out of these were the speakers and the subwoofer.
523;775;77;positive;subwoofer;86;I guess the only good thing that came out of these were the speakers and the subwoofer.
1657;776;9;positive;built in camera;24;Theres a built in camera with special effects- for video and photography.
1674;777;21;positive;price;26;All for such a great price.
472;778;;;;;I went right out and purchased another laptop.
1143;779;220;neutral;warranty;228;  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.
2618;780;;;;;I am able to play 720p and 1080p media files just fine with it.
1708;781;;;;;I already own an iPhone, and so the move just made more sense.
2771;782;;;;;So think about factoring those things in when you purchase.
2375;783;;;;;Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
203;784;;;;;Everything was up and running within 15 minutes of unboxing.
123;785;;;;;This computer gets very hot, before shutting down.
2927;786;45;negative;left mouse key;59;Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
2927;786;73;neutral;costed;79;Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
916;787;;;;; Went silently.
2750;788;;;;;Satisfy what I paid for it.
1137;789;;;;;IT IS TRASH!
2993;790;12;positive;speed;17;It has good speed and plenty of hard drive space.
2993;790;32;positive;hard drive space;48;It has good speed and plenty of hard drive space.
2453;791;6;positive;picture;13;Clear picture on it and everything.
2661;792;;;;;Overall though, for the money spent it's a great deal.
2590;793;;;;;So you don't get frustrated the first few weeks.
515;794;45;neutral;extended warranty;62;They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.
515;794;88;neutral;extended warranties;107;They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.
2321;795;;;;;It's so useable and responsive.
2282;796;;;;;It is truly a Desktop Replacement.
1135;797;;;;;I only used it to browse the internet and and I dont know how many times it has spontaniously shut down and it is just a blank screen now.
1577;798;;;;;A little pricey but it is well, well worth it.
2572;799;15;positive;battery;22;Very long-life battery (up to 10-11 hours depending on how you configure power level settings).
2387;800;0;positive;Screen;6;Screen is awesome, battery life is good.
2387;800;19;positive;battery life;31;Screen is awesome, battery life is good.
2517;801;46;positive;appearance;56;The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
1967;802;;;;;In my opinion it was not as user friendly as I expected either.
990;803;4;negative;technical service for dell;30;The technical service for dell is so 3rd world it might as well not even bother.
1414;804;4;negative;graphics;12;The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
1414;804;32;negative;warranty;40;The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
664;805;;;;;and if u did.
2484;806;;;;;I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.
903;807;71;negative;battery;78;They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.
1609;808;;;;;It was definelty a smart move.
2354;809;;;;;I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.
2979;810;;;;;Apparently they are defective since they are not securely attached.
1759;811;;;;;but other then that I would give this product a 4 in hafe stars.
975;812;;;;;Sure hope Best Buy will replace it asap.
2931;813;;;;;I babyed the heck out of it and i still do.
2700;814;;;;;Handles all my basic media needs easily.
1482;815;;;;;Just what the doctor ordered.
1602;816;62;positive;case;66;If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.
1233;817;;;;;The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.
2231;818;40;neutral;performance;51;you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.
2231;818;79;positive;price;84;you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.
2231;818;110;positive;look;114;you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.
2231;818;122;positive;applications;134;you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.
2828;819;10;positive;speed;15;Excellent speed for processing data.
121;820;;;;;All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole.
2744;821;;;;;I am not happy at all with the product I purchased.
1824;822;14;negative;tech support;26;When you call tech support you were routed to someone who was in another country and did not know what they were doing.
2460;823;118;positive;gaming;124;It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.
2460;823;22;positive;use;25;It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.
2500;824;20;positive;Photoshop;29;I was taught to use Photoshop and was amazed.
600;825;;;;;It's A MAC!!
497;826;;;;;It was weird.
241;827;;;;;I can hardly wait to see whats around the next corner.
557;828;;;;;the apple pro notebook will not let you down.
677;829;7;neutral;ram;10;4gb of ram...
531;830;;;;;I did a review on it, its awesome.
1367;831;;;;;  Before we got this laptop, had a compaq pasaro for 5 years with no problems.
2094;832;;;;;I tried out another Mac for a few months before buying this one and it is a great machine.
1252;833;12;negative;system clock;24;Somehow the system clock got messed up after reboot.
3007;834;43;negative;RAM;46;the only problem is that i had to add 1 gb RAM, the computer was kinda slow.
1650;835;39;positive;securitysoftware;55;With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.
1229;836;;;;;The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.
399;837;;;;;I visited the Apple Store and was impressed with the 17-inch MacBook Pro.
1037;838;4;negative;driver updates;18;The driver updates don't fix the issue, very frustrating.
1620;839;24;negative;Windows;31;I will never go back to Windows!
1035;840;;;;;Do your research on this issue.
201;841;;;;;Looking to take my video and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop.
285;842;10;negative;work;14;It doesnt work worth a damn.
1260;843;;;;;HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.
3035;844;3;positive;works;8;It works really well.
840;845;;;;;It has happened again and I'm being told that it's $175.
2511;846;7;positive;HD;9;Bigger HD, better graphics card, and a bid HD.
2511;846;43;positive;HD;45;Bigger HD, better graphics card, and a bid HD.
2511;846;18;positive;graphics card;31;Bigger HD, better graphics card, and a bid HD.
895;847;;;;;Lord HAVE MERCY!
2275;848;4;positive;built in camera;19;The built in camera is very useful when chatting with other techs in remote buildings on our campus.
1342;849;;;;;No big deal.
1124;850;26;negative;DVD burner;36;Mine came at $1,700 w/o a DVD burner (!).
781;851;4;negative;DVD burner;14;The DVD burner broke after burning 3 DVD'd during that time!
2987;852;3;positive;works;8;It works fine with our wireless and they've had not problems.
2133;853;21;positive;15 inch;28;But you must get the 15 inch.
131;854;;;;;i will be returning it and switching brands when i get to best buy.
1364;855;0;negative;Product support;15;Product support very poor as each phone call costs me long distan
2787;856;46;positive;screen;52;Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.
2787;856;37;positive;use;40;Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.
948;857;6;negative;casing of the power cord;30;  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.
2049;858;17;negative;internet signals;33;It does not keep internet signals no matter where you bring it.
558;859;;;;;apple is one of the best computer companies in the country.
1059;860;;;;;PLEASE MAKE THESE!
767;861;;;;;Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.
1990;862;;;;;After the first few months, the computer started crashing about every week.
2366;863;;;;;My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.
2988;864;33;positive;price;38;It's a great product for a great price!
1385;865;29;negative;right speaker;42;Again, the same problem, the right speaker did not work.
1646;866;64;conflict;price tag;73;But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
1646;866;101;positive;software;109;But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
1646;866;170;positive;updates;177;But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
88;867;;;;;Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to Apple for reliability, dependable, and long lasting operations.
1270;868;;;;;Dell wanted to charge us for everything everytime I called them with a problem.
1834;869;;;;;THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.
1451;870;;;;;i have had my dell latitude for almost three years.
55;871;;;;;May be better for the occasional web surfer.
2505;872;8;positive;multiple page viewer;28;and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.
768;873;49;negative;shipped;56;This was the 3rd day and part still had not been shipped.
2559;874;;;;;Obviously we both got new Macs.
242;875;;;;;My Iphone synced right up just like a person would expect, unlike the PCs in our lives.
2998;876;;;;;That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.
2341;877;;;;;It's fun to take to a bookstore, sit in the coffee shop area, sign in to WiFi and look up book reviews of books I might buy.
2908;878;;;;;Not super fancy, but not super expensive either.
214;879;0;positive;Keyboard;8;Keyboard good sized and wasy to use.
214;879;32;positive;use;35;Keyboard good sized and wasy to use.
1263;880;22;neutral;warranty;30;HP said it was out of warranty.
650;881;;;;;-Stay away from Apple, or hope you laptop does not break down.
2703;882;;;;;It's a great prodcut to handle basic computing needs.
142;883;25;negative;quality;32;I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.
2947;884;10;positive;features;18;wonderful features.
66;885;;;;;the laptop was really good and it goes really fast just the way i thought it would of run.
2020;886;31;negative;recovery disk;44;I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.
2451;887;31;positive;features;39;Im glad that it has such great features in it.
605;888;;;;;it's just a great toy to have around.
314;889;13;positive;programs;21;I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
314;889;34;negative;Office;40;I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
314;889;106;neutral;Office programs;121;I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
2777;890;6;positive;wifi;10;Great wifi too.
1085;891;5;negative;TYPING;11;WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.
1906;892;58;negative;screen;64;  Only a few days after I received the computer back, the screen froze again.
124;893;44;negative;temp;48;It is not ideal for children because of the temp.
2816;894;;;;;sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!
1900;895;;;;;  When this happened I would have to completely power off my computer and restart it.
732;896;27;negative;Windows operating system;51;Although i do believe that Windows operating system may be to fault for some of the problems.
3011;897;6;positive;OS;8;Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.
3011;897;68;positive;processor speed;83;Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.
3011;897;99;positive;thunderbolt port;115;Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.
485;898;;;;;I or my dad paid over twenty four hundred dollars for everything.
1842;899;6;negative;lcd screen;16;  The lcd screen stopped working on mine after 10 months.
238;900;;;;;That includes transferring my music and movies.
205;901;0;positive;Images;6;Images are crisp and clean.
1955;902;;;;;Took that one home, same thing.
1160;903;;;;;I'm going back to PC.
2989;904;;;;;Great, quick laptop for the money.
1398;905;13;negative;windows vista;26;although its windows vista compared to windows xp sucks.
1398;905;39;positive;windows xp;49;although its windows vista compared to windows xp sucks.
1372;906;37;negative;Vista;42;  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.
1372;906;52;negative;Adobe Flash player;70;  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.
1372;906;129;negative;Internet Explore;145;  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.
1372;906;215;negative;Windows update;229;  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.
1372;906;326;negative;update;332;  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.
467;907;;;;;The Dell mini was the first Dell product that I had ever purchased.
1400;908;9;negative;switch;15;with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
1400;908;102;negative;switch;108;with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
47;909;;;;;My Mac has gone from being a trusted friend to an adversary.
1066;910;51;positive;4GB stick of RAM;67;One more tip, please purchase this model and get a 4GB stick of RAM to save you $10
1607;911;;;;;By week two, my laptop had overheated and was completely dead even though I did not use it too much.
910;912;;;;;And it is impossible to get them back in.
2379;913;;;;;My last laptop gave me a constant battle even though it was also completely new.
361;914;;;;;I have been a mac user since the mid 90s.
344;915;39;negative;hardrive;47;It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
344;915;71;negative;touch control buttons;92;It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
344;915;100;negative;keyboard;108;It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
1368;916;;;;;  After the bad experience with this computer went back to compaq.
2038;917;;;;;Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.
1673;918;;;;;It doesn't heat up like my old laptop.
2871;919;98;positive;performance;109;I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.
2530;920;;;;;It's solid.
1603;921;;;;;Before I got my macbook, I owned a Dell laptop.
381;922;;;;;This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.
312;923;53;positive;iLife software;67;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
312;923;88;positive;iPhoto;94;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
312;923;96;positive;iMovie;102;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
312;923;104;positive;iWeb;108;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
312;923;110;positive;iTunes;116;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
312;923;118;positive;GarageBand;128;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
312;923;13;positive;runs;17;The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
2795;924;51;negative;system board;63;At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.
1865;925;74;neutral;size;78;  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.
1865;925;80;neutral;software;88;  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.
1865;925;99;neutral;hardware;107;  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.
1681;926;;;;;I don't know how I could ever live without my Qousmio.
2973;927;17;positive;memory;23;It has plenty of memory, lots of hard drive, and great graphics.
2973;927;33;positive;hard drive;43;It has plenty of memory, lots of hard drive, and great graphics.
2973;927;55;positive;graphics;63;It has plenty of memory, lots of hard drive, and great graphics.
2612;928;64;positive;programs;72;It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
2612;928;77;positive;navigation;87;It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
1864;929;;;;;  It lasted for many years of travel, kids and abuse and if I fired it up today, it would work.
2629;930;;;;;been a PC user for many, many years.
2207;931;;;;;I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.
249;932;;;;;It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.
1283;933;51;negative;hinge;56;However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).
1283;933;100;neutral;LCD;103;However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).
1423;934;20;negative;DELL Customer Service;41;My problem was with DELL Customer Service.
288;935;;;;;There are so many things wrong with this product, it just makes me want to set my self on fire!
256;936;;;;;It is not even a year old yet, so I would definitely not recommend it to anyone.
2280;937;;;;;Amazing machine.
322;938;;;;;I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.
1072;939;9;positive;RMA service;20;Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.
2826;940;;;;;I'm very impressed.
1390;941;;;;;Dell sucks
1739;942;0;positive;Design;6;Design: very durable.
2419;943;26;neutral;keyboard;34;It is easy to go from one keyboard to another.
785;944;;;;;I spoke to 4 different people and was told they needed to transfer me to a 5th person!
82;945;;;;;The Mac Book Pro performs flawlessly.
1549;946;15;neutral;battery life;27;Has a 5-6 hour battery life.
2086;947;27;negative;screen/video resolution;50;My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
2086;947;78;negative;resolution;88;My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
300;948;94;neutral;applications;106;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
300;948;6;neutral;Dreamweaver;17;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
300;948;19;neutral;Final Cut Pro 7;34;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
300;948;36;neutral;Photoshop;45;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
300;948;47;neutral;Safari;53;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
300;948;55;neutral;Firefox;62;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
300;948;64;neutral;MSN Messenger;77;I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
262;949;;;;;I have owned many computers and laptops.
2521;950;;;;;I recently purchased the mini and absolutely love it!
2284;951;;;;;Does a great job with video shot on a Canon 5D MKII.
851;952;131;negative;warrenty;139;  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.
1008;953;16;neutral;tech support;28;Ive had to call tech support many times.
2261;954;4;positive;Apple applications;22;The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!
2261;954;27;positive;iPhoto;33;The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!
2793;955;;;;;Yes, I have it on the highest available setting.
291;956;27;negative;gigs;31;Not to mention it has shit gigs.
1185;957;;;;;Hieroglyphics are quite common.
1719;958;;;;;This worked just fine.
391;959;17;neutral;memory;23;I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.
391;959;32;neutral;17-inch screen;46;I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.
391;959;79;positive;DVD;82;I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.
391;959;87;positive;CD burners;97;I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.
1595;960;66;positive;web browsing;78;Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.
1595;960;80;positive;uploading photos;96;Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.
1595;960;98;positive;watching movies;113;Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.
1595;960;137;positive;creating presentations;159;Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.
1150;961;;;;;I was so happy with my new Mac.
2362;962;0;positive;Quality Display;15;Quality Display  I love HP,, it's the only computer/printer we will buy.
116;963;25;conflict;weight;31;Despite the inconvenient weight, I opted for the 12 cell battery.
116;963;49;positive;12 cell battery;64;Despite the inconvenient weight, I opted for the 12 cell battery.
2119;964;;;;;My MacBook is faster than any comparable PC.
2647;965;4;neutral;case;8;The case is carved out of a single block of aluminum.
2108;966;;;;;I'm very happy with this machine!
789;967;;;;;I do not recommend this company or their products!!!!
570;968;;;;;I like this machine because its very lightweight...
980;969;34;negative;power adapter plug;52;     First it burned or fused the power adapter plug.
668;970;4;positive;features;12;the features are great, the only thing it needs is better speakers.
668;970;58;negative;speakers;66;the features are great, the only thing it needs is better speakers.
1106;971;51;negative;screen;57;It was still working, but there was nothing on the screen.
140;972;35;negative;TAB;38;I bought this laptop and found its TAB is not functioning.
1418;973;47;negative;extended warrenty;64;  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.
539;974;;;;;HP said I had done the damage.
621;975;45;negative;TFT panel;54;-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).
2360;976;0;positive;Navigation;10;Navigation through the computer is far superior compared to Windows operating systems, as well.
2360;976;60;negative;Windows operating systems;85;Navigation through the computer is far superior compared to Windows operating systems, as well.
2397;977;;;;;I would recommend this product.
2449;978;;;;;If I had to buy another computer, I would most definetly buy an acer one computer.
1126;979;4;negative;screen;10;The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.
1126;979;95;negative;screen size;106;The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.
1126;979;125;negative;bulk;129;The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.
1745;980;31;negative;music software;45;Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.
1745;980;85;positive;software;93;Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.
1745;980;11;negative;picture;18;Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.
1745;980;20;negative;video;25;Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.
2205;981;;;;;I previously owned an HP desktop and a Dell laptop.
1065;982;;;;;Everything else just install and go.
987;983;;;;;  This thing is a lemon.
363;984;;;;;My laptop is almost 2yrs old and I have never had any problems with it.
1276;985;;;;;All the customers that come in hate Dell.
2911;986;;;;;We now own two of these, identical.
2714;987;;;;;I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.
2900;988;;;;;I enjoy very much my new Toshiba, purchased specifially for attending online schooling.
2177;989;;;;;Once you go Mac, you can't go back!
164;990;;;;;I brought this laptop last friday, and originally it worked fantastic.
39;991;16;negative;combined touch pad and clicker;46;The much lauded combined touch pad and clicker is a nightmare.
3019;992;4;positive;Unibody construction;24;The Unibody construction is solid, sleek and beautiful.
1517;993;;;;;They're easy, fun, powerful and will last a long time.
1090;994;;;;;I WANT MY L505-s5988 BACK!
1678;995;;;;;I let my friend borrow it, and she knows nothing about computers, and she used it with ease.
2469;996;50;positive;value;55;This MacBook is an outstanding product with great value.
2429;997;;;;;If that is the case for you, I would suggest a pull-behind solution when looking at cases.
1986;998;20;negative;Windows;27;I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.
1986;998;95;negative;screen hinges;108;I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.
1088;999;30;negative;BATTERY;37;A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.
1088;999;70;conflict;STORAGE LIFE;82;A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.
1088;999;140;negative;SERVICE;147;A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.
678;1000;14;positive;storage;21;and plenty of storage with 250 gb(though I will upgrade this and the ram..)
678;1000;69;neutral;ram;72;and plenty of storage with 250 gb(though I will upgrade this and the ram..)
417;1001;;;;;I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.
625;1002;101;negative;Nvidia chipset;115;"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair."
2035;1003;83;neutral;extended warranty;100;I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.
636;1004;;;;;I respond that I do not have the old computer...
1808;1005;;;;;I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.
1921;1006;0;negative;Programs;8;Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.
1872;1007;30;negative;CHARGE TIME;41;I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS
1413;1008;21;negative;size;25;Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.
1413;1008;30;negative;consistancy;41;Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.
369;1009;;;;;I work with kids and they love making short videos on there.
321;1010;;;;;It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.
2636;1011;4;negative;key bindings;16;the key bindings take a little getting used to, but have loved the Macbook Pro.
357;1012;0;positive;Keyboard;8;Keyboard is reasonable size.
357;1012;23;positive;size;27;Keyboard is reasonable size.
1230;1013;;;;;Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.
1006;1014;;;;;I'm now trying to decide on another Dell model.
3075;1015;24;positive;10-key;30;I find myself using the 10-key more than I thought I would.
216;1016;;;;;The Macbook is a fantastic laptop.
